time_code,value
20190309 14:26,45.38
20190309 14:46,41.52
20190309 15:06,25.59
20190309 15:26,36.41
20190309 15:46,30.43
20190309 16:06,28.23
20190309 16:26,28.65
20190309 16:46,27.96
20190309 17:06,20.37
20190309 17:26,16.26
20190309 17:46,12.87
20190309 18:06,16.77
20190309 18:26,16.68
20190309 18:46,11.1
20190309 19:06,11.74
20190309 19:26,12.48
20190309 20:06,4.98
20190309 20:26,6.93
20190309 20:46,15.84
20190309 21:06,5.37
20190309 21:26,4.29
20190309 21:46,9.69
20190309 22:06,11.37
20190309 22:26,18.78
20190309 22:46,12.25
20190309 23:26,2.4
20190310 00:06,0.9
20190310 00:26,0.48
20190310 01:06,0.45
20190310 01:26,0.56
20190310 01:46,0.45
20190310 02:06,0.48
20190310 02:26,0.45
20190310 02:46,0.45
20190310 03:06,0.48
20190310 03:26,0.45
20190310 04:06,0.48
20190310 04:46,0.48
20190310 05:06,0.48
20190310 05:46,0.45
20190310 06:06,0.45
20190310 06:26,1.7
20190310 06:46,3.32
20190310 07:06,7.17
20190310 07:26,3.42
20190310 07:46,5.34
20190310 08:06,8.28
20190310 08:26,8.64
20190310 08:46,9.45
20190310 09:06,13.8
20190310 09:26,4.31
20190310 09:46,9.35
20190310 10:06,5.82
20190310 10:26,6.5
20190310 10:46,8.55
20190310 11:06,11.38
20190310 11:46,14.31
20190310 12:26,14.55
20190310 13:06,21.0
20190310 13:26,2.28
20190310 13:46,12.87
20190310 14:06,8.55
20190310 14:26,10.77
20190310 14:46,7.34
20190310 15:06,14.82
20190310 15:26,5.77
20190310 15:46,5.26
20190310 16:06,11.76
20190310 16:26,3.66
20190310 16:46,2.76
20190310 17:06,0.78
20190310 17:26,3.21
20190310 17:46,0.75
20190310 18:06,4.06
20190310 18:26,6.61
20190310 18:46,6.81
20190310 19:06,7.14
20190310 19:26,10.26
20190310 19:46,2.6
20190310 20:06,6.92
20190310 20:26,9.75
20190310 21:06,7.17
20190310 22:06,1.23
20190310 22:26,1.68
20190310 23:26,4.71
20190311 02:06,0.15
20190311 02:46,0.16
20190311 04:46,0.16
20190311 06:06,2.58
20190311 06:26,1.82
20190311 06:46,7.72
20190311 07:06,7.5
20190311 07:26,24.73
20190311 07:46,43.8
20190311 08:06,53.94
20190311 08:26,50.05
20190311 08:46,61.04
20190311 09:06,62.85
20190311 09:26,65.28
20190311 09:46,52.59
20190311 10:06,62.89
20190311 10:26,56.07
20190311 10:46,56.23
20190311 11:06,57.21
20190311 11:26,62.54
20190311 11:46,41.52
20190311 12:06,58.93
20190311 12:26,55.55
20190311 12:46,59.64
20190311 13:06,42.18
20190311 13:26,41.39
20190311 13:46,22.65
20190311 14:06,29.43
20190311 14:26,30.27
20190311 14:46,54.21
20190311 15:06,24.86
20190311 15:26,16.05
20190311 15:46,14.16
20190311 16:06,14.64
20190311 16:26,34.35
20190311 16:46,37.23
20190311 17:06,32.33
20190311 17:26,51.54
20190311 17:46,62.08
20190311 18:06,64.39
20190311 18:26,60.06
20190311 18:46,49.14
20190311 19:06,42.08
20190311 19:26,62.94
20190311 19:46,28.83
20190311 20:06,10.59
20190311 20:26,6.42
20190311 20:46,7.47
20190311 21:06,0.36
20190311 21:26,3.08
20190311 21:46,0.84
20190311 22:06,17.1
20190311 22:26,34.08
20190311 23:06,27.12
20190312 00:06,0.3
20190312 05:06,0.64
20190312 05:46,1.88
20190312 06:06,0.13
20190312 06:26,4.59
20190312 07:06,6.86
20190312 07:26,24.57
20190312 07:46,49.23
20190312 08:06,54.75
20190312 08:26,51.72
20190312 08:46,56.52
20190312 09:06,48.84
20190312 09:26,63.1
20190312 09:46,45.38
20190312 10:06,58.62
20190312 10:26,62.83
20190312 10:46,62.5
20190312 11:06,37.61
20190312 11:26,31.17
20190312 11:46,47.43
20190312 12:06,29.22
20190312 12:26,48.54
20190312 12:46,59.14
20190312 13:06,53.66
20190312 13:26,53.86
20190312 13:46,61.04
20190312 14:06,84.24
20190312 14:26,97.66
20190312 14:46,94.62
20190312 15:06,73.52
20190312 15:26,61.26
20190312 15:46,65.33
20190312 16:06,29.7
20190312 16:26,50.57
20190312 16:46,41.46
20190312 17:06,40.75
20190312 17:26,58.05
20190312 17:46,84.75
20190312 18:06,95.17
20190312 18:26,68.66
20190312 18:46,44.24
20190312 19:06,55.11
20190312 19:26,40.14
20190312 19:46,25.32
20190312 20:06,16.83
20190312 20:26,4.3
20190312 20:46,10.0
20190312 21:26,3.34
20190312 22:06,12.92
20190312 22:26,22.3
20190312 22:46,34.3
20190312 23:06,32.86
20190313 01:06,0.15
20190313 02:46,6.39
20190313 03:06,1.02
20190313 06:26,2.44
20190313 07:06,14.52
20190313 07:26,25.83
20190313 07:46,39.49
20190313 08:06,44.28
20190313 08:26,50.84
20190313 08:46,59.87
20190313 09:06,63.6
20190313 09:26,61.05
20190313 09:46,54.86
20190313 10:06,68.67
20190313 10:26,64.02
20190313 10:46,60.08
20190313 11:06,83.79
20190313 11:26,57.21
20190313 11:46,72.93
20190313 12:06,66.88
20190313 12:26,67.43
20190313 12:46,64.55
20190313 13:06,71.43
20190313 13:26,63.54
20190313 13:46,72.48
20190313 14:06,61.77
20190313 14:26,64.6
20190313 14:46,68.57
20190313 15:06,60.5
20190313 15:26,61.42
20190313 15:46,65.58
20190313 16:06,34.98
20190313 16:26,41.78
20190313 16:46,46.86
20190313 17:06,47.88
20190313 17:26,54.86
20190313 17:46,65.86
20190313 18:06,46.74
20190313 18:26,58.98
20190313 18:46,57.74
20190313 19:06,32.15
20190313 19:26,29.82
20190313 19:46,25.35
20190313 20:06,10.88
20190313 20:26,10.5
20190313 20:46,4.56
20190313 21:06,1.2
20190313 21:26,3.03
20190313 21:46,3.39
20190313 22:06,18.75
20190313 22:26,38.03
20190313 23:06,26.22
20190314 00:06,0.81
20190314 06:06,2.82
20190314 07:06,8.56
20190314 07:26,33.12
20190314 07:46,27.96
20190314 08:06,45.31
20190314 08:26,43.67
20190314 08:46,59.46
20190314 09:06,70.34
20190314 09:26,75.2
20190314 09:46,70.24
20190314 10:06,70.87
20190314 10:26,62.59
20190314 10:46,79.7
20190314 11:06,76.64
20190314 11:26,65.47
20190314 11:46,65.28
20190314 12:06,68.55
20190314 12:26,76.29
20190314 12:46,59.73
20190314 13:06,38.43
20190314 13:26,48.54
20190314 13:46,50.17
20190314 14:06,56.13
20190314 14:26,76.7
20190314 14:46,71.61
20190314 15:06,41.1
20190314 15:26,46.1
20190314 15:46,30.85
20190314 16:06,40.37
20190314 16:26,39.48
20190314 16:46,47.73
20190314 17:06,45.97
20190314 17:26,86.31
20190314 17:46,87.91
20190314 18:06,100.08
20190314 18:26,88.95
20190314 18:46,80.68
20190314 19:06,54.33
20190314 19:26,42.72
20190314 19:46,29.4
20190314 20:06,16.09
20190314 20:26,11.07
20190314 20:46,5.01
20190314 21:26,4.78
20190314 21:46,2.85
20190314 22:06,18.54
20190314 22:26,45.96
20190314 23:06,46.59
20190315 01:06,0.14
20190315 01:46,0.6
20190315 06:06,2.28
20190315 06:46,6.63
20190315 07:06,10.24
20190315 07:26,15.24
20190315 07:46,27.22
20190315 08:06,36.99
20190315 08:26,30.25
20190315 08:46,42.42
20190315 09:06,58.83
20190315 09:26,61.2
20190315 09:46,60.27
20190315 10:06,48.84
20190315 10:26,47.71
20190315 10:46,59.66
20190315 11:06,57.34
20190315 11:26,81.15
20190315 11:46,71.94
20190315 12:06,61.32
20190315 12:26,45.36
20190315 12:46,43.98
20190315 13:06,39.3
20190315 13:26,53.67
20190315 13:46,56.49
20190315 14:06,63.59
20190315 14:26,58.91
20190315 14:46,56.56
20190315 15:06,64.18
20190315 15:26,52.71
20190315 15:46,47.26
20190315 16:06,49.19
20190315 16:26,68.89
20190315 16:46,56.2
20190315 17:06,76.31
20190315 17:26,78.88
20190315 17:46,95.15
20190315 18:06,127.69
20190315 18:26,117.21
20190315 18:46,102.77
20190315 19:06,89.31
20190315 19:26,68.63
20190315 19:46,78.45
20190315 20:06,63.21
20190315 20:26,45.7
20190315 20:46,34.86
20190315 21:06,19.48
20190315 21:26,11.56
20190315 21:46,5.88
20190315 22:06,8.8
20190315 22:26,46.56
20190315 22:46,34.38
20190315 23:46,25.77
20190316 00:26,0.14
20190316 07:06,1.2
20190316 07:46,1.5
20190316 08:06,1.23
20190316 08:46,26.4
20190316 09:06,25.2
20190316 09:26,7.5
20190316 09:46,20.53
20190316 10:06,12.57
20190316 10:26,24.02
20190316 10:46,30.27
20190316 11:06,20.22
20190316 11:26,12.3
20190316 11:46,18.81
20190316 12:06,15.87
20190316 12:26,18.57
20190316 12:46,24.35
20190316 13:06,14.65
20190316 13:26,30.95
20190316 13:46,35.13
20190316 14:06,37.92
20190316 14:26,32.81
20190316 14:46,45.21
20190316 15:06,37.53
20190316 15:26,37.74
20190316 15:46,37.38
20190316 16:06,41.55
20190316 16:26,64.34
20190316 16:46,49.57
20190316 17:06,45.83
20190316 17:26,34.44
20190316 17:46,37.95
20190316 18:06,22.2
20190316 18:26,16.57
20190316 18:46,6.96
20190316 19:06,18.15
20190316 19:26,15.75
20190316 19:46,13.15
20190316 20:06,7.27
20190316 20:26,5.41
20190316 20:46,11.22
20190316 21:06,13.25
20190316 21:26,6.42
20190316 21:46,11.53
20190316 22:06,18.18
20190316 22:26,16.85
20190316 22:46,3.69
20190316 23:06,2.67
20190318 14:06,44.07
20190318 14:26,61.87
20190318 14:46,67.16
20190318 15:06,47.57
20190320 13:46,64.26
20190320 14:06,63.41
20190320 14:26,66.3
20190320 14:46,51.08
20190320 15:06,53.24
20190320 15:26,61.97
20190320 15:46,50.96
20190320 16:06,36.21
20190320 16:26,43.81
20190320 16:46,45.06
20190320 17:06,62.08
20190320 17:26,86.34
20190320 17:46,82.89
20190320 18:06,79.54
20190320 18:26,76.19
20190320 18:46,74.6
20190320 19:06,63.12
20190320 19:26,49.51
20190320 19:46,33.82
20190320 20:06,19.14
20190320 20:26,10.14
20190320 20:46,6.84
20190320 21:06,1.23
20190320 21:26,0.48
20190320 21:46,1.23
20190320 22:06,23.75
20190320 22:26,33.93
20190321 00:26,0.16
20190321 01:06,0.15
20190321 02:26,0.15
20190321 06:06,1.59
20190321 06:26,4.95
20190321 06:46,7.71
20190321 07:06,9.42
20190321 07:26,33.32
20190321 07:46,41.31
20190321 08:06,28.47
20190321 08:26,60.06
20190321 08:46,52.28
20190321 09:06,51.05
20190321 09:26,60.32
20190321 09:46,72.12
20190321 10:06,67.21
20190321 10:26,69.06
20190321 10:46,71.0
20190321 11:06,58.66
20190321 11:26,69.34
20190321 11:46,62.19
20190321 12:06,67.42
20190321 12:26,47.22
20190321 12:46,35.67
20190321 13:06,54.24
20190321 13:26,49.82
20190321 13:46,53.11
20190321 14:06,48.39
20190321 14:26,52.27
20190321 14:46,56.86
20190321 15:06,46.97
20190321 15:26,47.22
20190321 15:46,48.61
20190321 16:06,34.89
20190321 16:26,44.71
20190321 16:46,62.71
20190321 17:06,55.35
20190321 17:26,77.49
20190321 17:46,102.47
20190321 18:06,100.86
20190321 18:26,98.55
20190321 18:46,86.08
20190321 19:06,91.79
20190321 19:26,54.6
20190321 19:46,51.03
20190321 20:06,14.14
20190321 20:26,14.7
20190321 20:46,12.03
20190321 21:06,8.64
20190321 21:26,6.75
20190321 21:46,5.48
20190321 22:06,7.59
20190321 22:26,19.96
20190321 22:46,22.07
20190321 23:46,22.08
20190322 01:06,1.89
20190322 04:46,0.64
20190322 05:06,0.48
20190322 05:26,0.51
20190322 06:06,1.44
20190322 06:26,6.75
20190322 06:46,4.61
20190322 07:06,14.79
20190322 07:26,10.74
20190322 07:46,17.34
20190322 08:06,26.91
20190322 08:26,35.04
20190322 08:46,31.78
20190322 09:06,45.06
20190322 09:26,30.62
20190322 09:46,27.45
20190322 10:06,28.75
20190322 10:26,50.82
20190322 10:46,42.31
20190322 11:06,36.85
20190322 11:26,43.32
20190322 11:46,45.25
20190322 12:06,34.47
20190322 12:26,12.24
20190322 12:46,16.05
20190322 13:06,12.47
20190322 13:26,14.42
20190322 13:46,59.29
20190322 14:06,50.85
20190322 14:26,61.1
20190322 14:46,57.58
20190322 15:06,53.33
20190322 15:26,63.38
20190322 15:46,33.77
20190322 16:06,41.3
20190322 16:26,35.31
20190322 16:46,44.47
20190322 17:06,45.27
20190322 17:26,73.45
20190322 17:46,66.51
20190322 18:06,78.1
20190322 18:26,70.15
20190322 18:46,57.83
20190322 19:06,73.92
20190322 19:26,61.07
20190322 19:46,32.46
20190322 20:06,29.58
20190322 20:26,27.05
20190322 20:46,7.41
20190322 21:06,1.62
20190322 21:26,5.91
20190322 21:46,2.16
20190322 22:06,5.42
20190322 22:26,40.83
20190322 22:46,39.48
20190322 23:06,51.72
20190322 23:26,35.16
20190322 23:46,20.44
20190323 01:06,0.9
20190323 01:26,0.84
20190323 06:26,1.29
20190323 06:46,1.83
20190323 07:06,3.12
20190323 07:26,2.69
20190323 08:06,0.13
20190323 08:26,1.76
20190323 08:46,6.07
20190323 09:06,8.82
20190323 09:26,4.41
20190323 09:46,11.77
20190323 10:06,26.55
20190323 10:26,11.88
20190323 10:46,18.66
20190323 11:06,19.76
20190323 11:26,39.32
20190323 11:46,22.08
20190323 12:06,36.84
20190323 12:26,19.95
20190323 12:46,29.28
20190323 13:06,37.1
20190323 13:26,44.25
20190323 13:46,45.36
20190323 14:06,31.11
20190323 14:26,41.82
20190323 14:46,47.62
20190323 15:06,39.27
20190323 15:26,59.13
20190323 15:46,30.96
20190323 16:06,29.49
20190323 16:26,36.21
20190323 16:46,33.54
20190323 17:06,23.34
20190323 17:26,20.86
20190323 17:46,21.24
20190323 18:06,14.01
20190323 18:26,15.06
20190323 18:46,21.84
20190323 19:06,23.52
20190323 19:26,23.23
20190323 19:46,18.67
20190323 20:06,23.1
20190323 20:26,13.66
20190323 20:46,13.56
20190323 21:06,16.02
20190323 21:26,21.41
20190323 21:46,13.01
20190323 22:06,26.64
20190323 22:26,40.23
20190323 22:46,16.29
20190323 23:06,8.34
20190323 23:26,2.94
20190323 23:46,2.37
20190324 00:06,1.12
20190324 03:46,0.15
20190324 05:26,0.15
20190324 06:26,4.05
20190324 06:46,11.04
20190324 07:06,16.98
20190324 07:26,5.64
20190324 07:46,10.77
20190324 08:06,33.0
20190324 08:26,26.72
20190324 08:46,23.44
20190324 09:06,33.14
20190324 09:26,23.83
20190324 09:46,12.52
20190324 10:06,16.76
20190324 10:26,20.44
20190324 10:46,22.6
20190324 11:06,24.9
20190324 11:26,24.33
20190324 11:46,19.14
20190324 12:06,36.78
20190324 12:26,41.28
20190324 12:46,39.18
20190324 13:06,18.36
20190324 13:26,19.65
20190324 13:46,20.97
20190324 14:06,17.79
20190324 14:26,24.54
20190324 14:46,24.66
20190324 15:06,20.03
20190324 15:26,20.64
20190324 15:46,7.2
20190324 16:06,10.7
20190324 16:26,18.25
20190324 16:46,14.28
20190324 17:06,12.43
20190324 17:26,5.61
20190324 17:46,10.87
20190324 18:06,0.48
20190324 18:46,6.09
20190324 19:06,4.98
20190324 19:26,3.88
20190324 19:46,2.48
20190324 20:06,5.88
20190324 20:26,1.73
20190324 20:46,1.85
20190324 21:06,6.46
20190324 21:26,1.69
20190324 22:06,0.81
20190324 23:46,0.15
20190325 00:06,0.15
20190325 00:46,0.15
20190325 04:46,0.15
