time_code,value
20190502 14:48,93.12
20190502 15:08,94.42
20190502 15:28,96.02
20190502 15:48,110.37
20190502 16:08,82.74
20190502 16:28,88.79
20190502 16:48,98.9
20190502 17:08,107.96
20190502 17:28,134.97
20190502 17:48,134.64
20190502 18:08,132.66
20190502 18:28,124.47
20190502 18:48,129.43
20190502 19:08,130.68
20190502 19:28,101.64
20190502 19:48,108.37
20190502 20:08,71.57
20190502 20:28,41.31
20190502 20:48,43.2
20190502 21:08,16.87
20190502 21:28,17.93
20190502 21:48,5.4
20190502 22:08,14.21
20190502 22:28,58.4
20190503 04:28,0.21
20190503 06:48,6.8
20190503 07:08,14.3
20190503 07:28,31.47
20190503 07:48,50.45
20190503 08:08,60.99
20190503 08:28,56.46
20190503 08:48,66.75
20190503 09:08,72.15
20190503 09:28,69.26
20190503 09:48,77.82
20190503 10:08,67.02
20190503 10:28,77.27
20190503 10:48,80.85
20190503 11:08,72.26
20190503 11:29,78.06
20190503 11:48,81.99
20190503 12:08,67.81
20190503 12:28,67.92
20190503 12:48,60.72
20190503 13:08,60.33
20190503 13:28,84.33
20190503 13:49,80.63
20190503 14:08,79.92
20190503 14:29,80.02
20190503 14:48,82.89
20190503 15:08,77.28
20190503 15:28,94.77
20190503 15:48,79.07
20190503 16:08,53.61
20190503 16:28,75.74
20190503 16:48,84.59
20190503 17:08,115.83
20190503 17:28,128.17
20190503 17:48,150.85
20190503 18:08,137.7
20190503 18:28,157.2
20190503 18:48,143.58
20190503 19:08,152.31
20190503 19:28,146.01
20190503 19:48,143.7
20190503 20:08,143.13
20190503 20:28,129.16
20190503 20:48,108.31
20190503 21:08,80.55
20190503 21:28,33.81
20190503 21:48,26.91
20190503 22:08,49.36
20190503 22:29,33.08
20190503 22:48,46.62
20190503 23:08,32.49
20190503 23:28,51.38
20190503 23:48,49.14
20190504 05:08,0.57
20190504 06:28,4.29
20190504 07:08,0.68
20190504 07:28,2.56
20190504 08:08,6.96
20190504 08:28,8.4
20190504 08:48,13.38
20190504 09:08,13.25
20190504 09:28,27.66
20190504 09:48,43.11
20190504 10:08,34.35
20190504 10:28,47.78
20190504 10:48,62.72
20190504 11:08,72.24
20190504 11:28,53.68
20190504 11:48,65.55
20190504 12:08,52.18
20190504 12:28,55.33
20190504 12:48,52.68
20190504 13:08,69.28
20190504 13:28,65.73
20190504 13:48,81.78
20190504 14:08,96.33
20190504 14:29,76.38
20190504 14:48,76.64
20190504 15:08,56.76
20190504 15:28,75.26
20190504 15:48,68.12
20190504 16:08,71.46
20190504 16:28,75.34
20190504 16:48,57.21
20190504 17:08,54.1
20190504 17:28,52.86
20190504 17:48,42.76
20190504 18:08,38.49
20190504 18:28,25.09
20190504 18:48,24.15
20190504 19:08,20.47
20190504 19:28,16.4
20190504 19:48,16.09
20190504 20:08,16.69
20190504 20:28,36.18
20190504 20:48,20.4
20190504 21:08,20.01
20190504 21:28,18.7
20190504 21:48,8.13
20190504 22:08,26.85
20190504 22:28,45.63
20190504 22:48,25.68
20190504 23:08,17.55
20190504 23:28,16.68
20190504 23:48,7.26
20190505 01:08,0.57
20190505 02:48,0.2
20190505 03:28,0.17
20190505 06:28,3.7
20190505 06:48,2.88
20190505 07:08,3.42
20190505 07:28,6.63
20190505 07:48,12.84
20190505 08:08,10.95
20190505 08:28,5.91
20190505 08:48,5.04
20190505 09:08,13.71
20190505 09:28,22.83
20190505 09:48,19.62
20190505 10:08,17.58
20190505 10:28,54.06
20190505 10:48,57.87
20190505 11:08,67.98
20190505 11:28,86.4
20190505 11:48,78.42
20190505 12:08,59.07
20190505 12:28,29.79
20190505 12:48,37.05
20190505 13:08,26.61
20190505 13:28,19.08
20190505 13:48,36.9
20190505 14:08,22.27
20190505 14:28,25.35
20190505 14:48,17.37
20190505 15:08,24.24
20190505 15:28,20.07
20190505 15:48,23.67
20190505 16:08,13.86
20190505 16:28,17.01
20190505 16:48,19.2
20190505 17:08,17.93
20190505 17:28,11.49
20190505 17:48,7.23
20190505 18:08,7.53
20190505 18:28,10.77
20190505 19:28,4.03
20190505 20:28,7.62
20190505 21:08,8.72
20190505 21:28,5.85
20190505 21:48,8.45
20190505 22:08,5.63
20190505 22:48,14.25
20190505 23:28,1.05
20190506 01:08,0.21
20190506 06:08,0.57
20190506 06:48,3.58
20190506 07:08,9.87
20190506 07:28,6.3
20190506 07:48,57.68
20190506 08:08,30.82
20190506 08:28,44.12
20190506 08:48,45.71
20190506 09:08,62.4
20190506 09:28,67.13
20190506 09:48,70.59
20190506 10:08,57.8
20190506 10:28,51.96
20190506 10:48,50.82
20190506 11:08,58.38
20190506 11:28,55.87
20190506 11:48,55.99
20190506 12:08,58.92
20190506 12:28,59.13
20190506 12:48,58.9
20190506 13:08,56.45
20190506 13:28,76.2
20190506 13:48,42.94
20190506 14:08,34.77
20190506 14:28,45.43
20190506 14:48,40.1
20190506 15:08,22.8
20190506 15:28,31.68
20190506 15:48,23.04
20190506 16:08,33.12
20190506 16:28,59.33
20190506 16:48,52.36
20190506 17:08,48.87
20190506 17:28,72.44
20190506 17:48,74.91
20190506 18:08,58.12
20190506 18:48,7.46
20190506 19:08,7.32
20190506 20:08,4.64
20190506 21:48,2.97
20190506 23:29,0.63
20190506 23:49,0.76
20190507 00:08,3.96
20190507 02:08,0.18
20190507 06:48,10.97
20190507 07:08,9.37
20190507 07:28,23.31
20190507 07:48,34.57
20190507 08:08,31.28
20190507 08:28,27.48
20190507 08:48,32.82
20190507 09:08,27.42
20190507 09:28,28.29
20190507 09:48,23.61
20190507 10:08,38.56
20190507 10:28,47.55
20190507 10:48,63.0
20190507 11:08,79.68
20190507 11:28,48.15
20190507 11:48,45.25
20190507 12:08,46.24
20190507 12:28,43.77
20190507 12:48,29.84
20190507 13:08,33.96
20190507 13:29,38.19
20190507 13:48,39.96
20190507 14:08,46.07
20190507 14:29,34.61
20190507 14:48,41.66
20190507 15:08,37.4
20190507 15:28,39.15
20190507 15:48,50.61
20190507 16:08,51.82
20190507 16:28,68.13
20190507 16:48,86.28
20190507 17:08,102.41
20190507 17:28,98.41
20190507 17:48,95.9
20190507 18:08,74.0
20190507 18:28,66.81
20190507 18:48,11.5
20190507 19:28,7.92
20190507 19:48,5.43
20190507 20:28,1.57
20190507 20:48,4.8
20190507 21:08,1.53
20190507 21:28,4.48
20190507 21:48,1.5
20190507 22:28,39.62
20190508 02:29,8.1
20190508 06:48,11.84
20190508 07:08,15.24
20190508 07:28,22.89
20190508 07:48,31.71
20190508 08:08,41.83
20190508 08:28,43.44
20190508 08:48,63.63
20190508 09:08,68.7
20190508 09:28,52.27
20190508 09:48,48.49
20190508 10:08,49.86
20190508 10:28,53.43
20190508 10:48,71.31
20190508 11:08,64.09
20190508 11:29,79.81
20190508 11:48,63.12
20190508 12:08,68.28
20190508 12:28,53.7
20190508 12:48,64.42
20190508 13:08,59.31
20190508 13:29,75.57
20190508 13:49,71.04
20190508 14:09,51.69
20190508 14:29,69.84
20190508 14:49,64.44
20190508 15:08,64.03
20190508 15:29,82.38
20190508 15:49,78.03
20190508 16:09,81.3
20190508 16:29,109.15
20190508 16:48,125.66
20190508 17:09,118.23
20190508 17:29,130.56
20190508 17:49,115.69
20190508 18:09,88.62
20190508 18:29,59.64
20190508 18:49,31.15
20190508 19:09,12.6
20190508 19:29,7.76
20190508 19:49,12.15
20190508 20:09,7.31
20190508 20:29,5.61
20190508 20:49,3.75
20190508 21:29,4.44
20190508 21:49,2.64
20190508 22:09,31.96
20190509 04:08,0.57
20190509 04:48,1.48
20190509 05:28,2.37
20190509 05:50,0.54
20190509 06:31,3.81
20190509 06:50,5.55
20190509 07:09,18.21
20190509 07:29,32.29
20190509 07:49,47.16
20190509 08:08,75.52
20190509 08:28,73.38
20190509 08:48,85.7
20190509 09:08,99.65
20190509 09:28,90.49
20190509 09:48,79.19
20190509 10:08,104.0
20190509 10:28,109.98
20190509 10:48,101.53
20190509 11:08,87.36
20190509 11:28,63.75
20190509 11:48,84.09
20190509 12:08,70.1
20190509 12:28,63.29
20190509 12:48,66.51
20190509 13:08,75.55
20190509 13:29,56.8
20190509 13:49,77.07
20190509 14:09,72.01
20190509 14:29,53.69
20190509 14:48,90.2
20190509 15:08,60.09
20190509 15:28,42.33
20190509 15:48,84.27
20190509 16:08,95.67
20190509 16:28,110.98
20190509 16:48,128.81
20190509 17:09,121.6
20190509 17:29,103.73
20190509 17:48,101.0
20190509 18:08,90.25
20190509 18:29,101.47
20190509 18:49,54.52
20190509 19:08,50.53
20190509 19:29,41.9
20190509 19:49,33.93
20190509 20:08,22.77
20190509 20:28,20.5
20190509 20:48,15.66
20190509 21:08,14.37
20190509 21:29,3.72
20190509 21:48,3.81
20190509 22:08,17.28
20190509 22:28,39.12
20190509 23:28,12.0
20190510 00:08,1.36
20190510 02:48,0.21
20190510 06:08,0.51
20190510 06:28,3.36
20190510 07:08,14.5
20190510 07:28,20.61
20190510 07:48,31.92
20190510 08:08,54.49
20190510 08:28,71.94
20190510 08:48,74.91
20190510 09:08,85.6
20190510 09:28,67.62
20190510 09:48,47.25
20190510 10:08,47.58
20190510 10:28,67.08
20190510 10:48,56.91
20190510 11:08,54.6
20190510 11:28,51.79
20190510 11:48,41.13
20190510 12:08,31.05
20190510 12:28,19.61
20190510 12:48,9.0
20190510 13:08,28.44
20190510 13:29,44.28
20190510 13:49,64.02
20190510 14:09,71.61
20190510 14:28,86.76
20190510 14:48,91.2
20190510 15:08,84.54
20190510 15:28,80.19
20190510 15:48,79.02
20190510 16:08,88.77
20190510 16:29,123.63
20190510 16:48,117.66
20190510 17:08,138.61
20190510 17:28,115.05
20190510 17:48,102.99
20190510 18:08,68.51
20190510 18:29,42.06
20190510 18:49,25.56
20190510 19:09,27.69
20190510 19:29,21.63
20190510 19:49,24.03
20190510 20:08,16.16
20190510 20:29,14.7
20190510 20:49,17.37
20190510 21:09,11.28
20190510 21:29,12.75
20190510 21:49,9.07
20190510 22:09,22.79
20190510 22:29,52.02
20190510 22:49,50.84
20190510 23:09,52.98
20190510 23:29,35.03
20190510 23:49,18.76
20190511 00:08,1.77
20190511 01:29,1.23
20190511 02:09,0.51
20190511 02:49,0.18
20190511 03:29,1.13
20190511 05:29,0.8
20190511 07:08,1.73
20190511 07:28,3.3
20190511 07:48,1.44
20190511 08:08,1.15
20190511 08:29,3.39
20190511 08:48,4.17
20190511 09:08,5.19
20190511 09:29,8.91
20190511 09:49,31.7
20190511 10:09,20.47
20190511 10:29,22.11
20190511 10:49,24.18
20190511 11:08,28.97
20190511 11:29,26.36
20190511 11:49,35.07
20190511 12:08,34.08
20190511 12:28,37.98
20190511 12:48,28.65
20190511 13:08,27.99
20190511 13:28,40.2
20190511 13:49,36.7
20190511 14:09,35.42
20190511 14:29,37.92
20190511 14:49,43.6
20190511 15:08,31.49
20190511 15:29,39.81
20190511 15:48,33.55
20190511 16:08,32.68
20190511 16:29,46.79
20190511 16:48,37.06
20190511 17:08,36.87
20190511 17:29,18.67
20190511 17:49,11.55
20190511 18:09,2.7
20190511 18:29,6.63
20190511 19:29,13.2
20190511 19:49,14.68
20190511 20:08,13.79
20190511 20:29,15.72
20190511 20:48,18.66
20190511 21:09,16.23
20190511 21:29,10.28
20190511 21:49,18.18
20190511 22:09,25.52
20190511 22:29,43.42
20190511 22:49,58.23
20190511 23:08,21.54
20190511 23:29,12.71
20190512 00:08,5.28
20190512 01:08,0.54
20190512 05:28,2.25
20190512 06:08,1.4
20190512 06:48,0.54
20190512 07:08,3.42
20190512 07:48,5.46
20190512 08:48,3.84
20190512 09:08,4.32
20190512 09:28,11.85
20190512 09:48,9.39
20190512 10:08,13.77
20190512 10:28,24.99
20190512 10:48,36.57
20190512 11:08,24.51
20190512 11:28,24.88
20190512 11:48,31.07
20190512 12:08,18.66
20190512 12:28,15.36
20190512 12:48,26.72
20190512 13:08,23.37
20190512 13:28,20.37
20190512 13:48,31.47
20190512 14:08,26.7
20190512 14:28,26.37
20190512 14:48,17.88
20190512 15:08,24.53
20190512 15:28,18.93
20190512 15:48,30.95
20190512 16:08,11.52
20190512 16:28,24.45
20190512 16:48,15.27
20190512 17:08,22.65
20190512 17:28,7.85
20190512 18:28,3.27
20190512 18:48,2.7
20190512 19:08,12.19
20190512 19:29,8.49
20190512 19:48,9.38
20190512 20:08,9.27
20190512 20:28,9.42
20190512 20:48,12.15
20190512 21:08,8.45
20190512 21:29,8.19
20190512 21:49,7.38
20190512 22:08,9.9
20190512 22:29,13.92
20190512 23:08,1.67
20190512 23:29,2.19
20190512 23:48,0.96
20190513 02:49,0.17
20190513 04:29,1.11
20190513 05:09,2.91
20190513 05:49,6.51
20190513 06:09,8.58
20190513 06:29,12.84
20190513 06:49,19.8
20190513 07:08,19.02
20190513 07:28,34.47
20190513 07:48,53.92
20190513 08:08,83.46
20190513 08:28,96.74
20190513 08:48,94.94
20190513 09:08,106.69
20190513 09:28,95.43
20190513 09:48,86.2
20190513 10:08,79.07
20190513 10:28,56.06
20190513 10:48,78.99
20190513 11:08,75.78
20190513 11:28,71.91
20190513 11:48,74.32
20190513 12:08,80.16
20190513 12:29,59.73
20190513 12:49,72.09
20190513 13:09,81.02
20190513 13:29,64.17
20190513 13:49,81.09
20190513 14:09,64.37
20190513 14:29,71.76
20190513 14:49,62.69
20190513 15:09,56.93
20190513 15:29,66.22
20190513 15:49,58.44
20190513 16:08,64.8
20190513 16:29,86.71
20190513 16:49,113.1
20190513 17:09,99.99
20190513 17:29,118.1
20190513 17:49,98.79
20190513 18:09,89.05
20190513 18:29,30.62
20190513 18:49,33.9
20190513 19:09,34.56
20190513 19:29,14.67
20190513 19:49,19.13
20190513 20:10,7.11
20190513 20:30,8.46
20190513 20:49,7.44
20190513 21:09,6.78
20190513 21:29,5.07
20190513 21:49,4.32
20190513 22:09,34.59
20190513 23:09,45.15
20190513 23:29,36.38
20190514 00:29,4.59
20190514 01:09,0.2
20190514 03:08,0.9
20190514 06:08,3.54
20190514 06:29,2.21
20190514 06:48,11.37
20190514 07:09,22.02
20190514 07:29,29.9
20190514 07:48,36.45
20190514 08:08,49.47
20190514 08:28,42.4
20190514 08:48,76.73
20190514 09:08,76.02
20190514 09:28,84.0
20190514 09:48,73.26
20190514 10:08,79.62
20190514 10:28,95.9
20190514 10:48,87.0
20190514 11:08,88.26
20190514 11:28,105.08
20190514 11:48,107.39
20190514 12:09,93.36
20190514 12:29,72.17
20190514 12:48,71.17
20190514 13:08,83.67
20190514 13:29,64.44
20190514 13:49,72.48
20190514 14:09,67.02
20190514 14:29,75.3
20190514 14:49,58.69
20190514 15:09,65.67
20190514 15:29,61.35
20190514 15:49,70.11
20190514 16:09,69.6
20190514 16:29,67.43
20190514 16:49,86.04
20190514 17:09,88.98
20190514 17:29,107.7
20190514 17:49,70.08
20190514 18:09,52.16
20190514 18:29,32.47
20190514 18:49,35.34
20190514 19:09,20.15
20190514 19:29,25.84
20190514 19:49,15.85
20190514 20:09,17.0
20190514 20:29,12.3
20190514 20:49,11.01
20190514 21:09,11.88
20190514 21:29,13.35
20190514 21:49,12.09
20190514 22:09,38.1
20190514 22:29,52.07
20190514 22:49,18.3
20190514 23:29,22.33
20190514 23:49,19.35
20190515 00:09,20.73
20190515 06:08,0.76
20190515 06:29,9.02
20190515 06:49,8.79
20190515 07:08,19.85
20190515 07:28,47.67
20190515 07:48,44.75
20190515 08:08,75.69
20190515 08:29,76.38
20190515 08:48,81.32
20190515 09:08,98.88
20190515 09:28,70.5
20190515 09:48,75.63
20190515 10:08,89.97
20190515 10:28,83.48
20190515 10:48,75.27
20190515 11:08,78.26
20190515 11:29,81.71
20190515 11:49,86.64
20190515 12:08,79.58
20190515 12:29,50.45
20190515 12:49,75.54
20190515 13:09,70.89
20190515 13:29,72.86
20190515 13:49,53.6
20190515 14:09,48.25
20190515 14:29,38.92
20190515 14:48,38.0
20190515 15:08,60.36
20190515 15:29,63.33
20190515 15:49,69.4
20190515 16:08,61.4
20190515 16:29,86.12
20190515 16:49,104.97
20190515 17:09,101.85
20190515 17:29,112.36
20190515 17:49,94.35
20190515 18:09,32.37
20190515 18:29,19.86
20190515 18:49,19.0
20190515 19:09,20.54
20190515 19:29,19.71
20190515 19:49,27.3
20190515 20:09,12.81
20190515 20:29,25.26
20190515 20:49,20.28
20190515 21:09,26.09
20190515 21:29,11.73
20190515 21:49,10.89
20190515 22:09,21.54
20190515 22:29,47.22
20190515 22:49,45.72
20190515 23:09,14.68
20190515 23:29,0.68
20190516 03:29,3.27
20190516 04:49,69.03
20190516 05:49,37.05
20190516 06:09,64.07
20190516 06:29,15.36
20190516 06:49,17.67
20190516 07:09,30.12
20190516 07:29,46.65
20190516 07:49,63.35
20190516 08:09,69.73
20190516 08:29,47.76
20190516 08:49,88.41
20190516 09:09,79.71
20190516 09:29,79.8
20190516 09:49,79.67
20190516 10:09,79.08
20190516 10:29,81.62
20190516 10:49,100.63
20190516 11:09,92.7
20190516 11:29,85.72
20190516 11:49,101.35
20190516 12:09,93.26
20190516 12:29,66.18
20190516 12:49,83.49
20190516 13:09,81.67
20190516 13:29,72.03
20190516 13:49,78.42
20190516 14:09,82.89
20190516 14:29,87.54
20190516 14:49,69.63
20190516 15:09,49.34
20190516 15:29,67.85
20190516 15:49,63.63
20190516 16:09,71.42
20190516 16:29,88.97
20190516 16:49,137.83
20190516 17:09,160.01
20190516 17:29,152.04
20190516 17:49,134.59
20190516 18:09,97.11
20190516 18:29,75.73
20190516 18:49,60.33
20190516 19:09,55.12
20190516 19:29,63.61
20190516 19:49,74.58
20190516 20:09,37.43
20190516 20:29,35.75
20190516 20:49,25.88
20190516 21:09,29.82
20190516 21:29,29.1
20190516 21:49,16.35
20190516 22:09,60.24
20190516 22:29,30.95
20190516 22:49,16.17
20190516 23:09,18.2
20190516 23:29,1.05
20190516 23:49,3.48
20190517 03:29,0.19
20190517 06:29,8.46
20190517 06:49,23.13
20190517 07:09,21.03
20190517 07:29,45.2
20190517 07:49,53.49
20190517 08:09,46.17
20190517 08:29,65.1
20190517 08:49,65.87
20190517 09:09,76.1
20190517 09:29,62.18
20190517 09:48,62.85
20190517 10:09,47.37
20190517 10:29,82.51
20190517 10:48,66.39
20190517 11:08,70.15
20190517 11:29,69.0
20190517 11:49,65.61
20190517 12:09,53.01
20190517 12:29,30.28
20190517 12:49,27.54
20190517 13:09,36.66
20190517 13:29,78.93
20190517 13:50,61.21
20190517 14:09,76.79
20190517 14:29,95.46
20190517 14:49,55.36
20190517 15:09,78.42
20190517 15:29,58.27
20190517 15:48,77.32
20190517 16:08,97.2
20190517 16:29,107.33
20190517 16:49,124.12
20190517 17:09,137.79
20190517 17:29,120.93
20190517 17:49,129.87
20190517 18:09,52.74
20190517 18:29,61.0
20190517 18:49,62.7
20190517 19:09,47.58
20190517 19:29,35.01
20190517 19:49,39.93
20190517 20:09,46.68
20190517 20:29,27.42
20190517 20:49,25.83
20190517 21:09,24.93
20190517 21:29,23.56
20190517 21:49,20.76
20190517 22:09,5.9
20190517 22:29,13.81
20190517 22:49,14.01
20190517 23:09,9.66
20190517 23:29,6.86
20190517 23:49,2.04
20190518 00:49,37.8
20190518 01:49,1.14
20190518 02:09,2.73
20190518 03:29,0.54
20190518 06:49,1.62
20190518 07:09,2.76
20190518 07:29,1.62
20190518 07:49,2.55
20190518 08:29,2.18
20190518 08:49,7.29
20190518 09:09,4.22
20190518 09:29,17.61
20190518 09:49,24.74
20190518 10:09,26.73
20190518 10:29,32.46
20190518 10:49,35.08
20190518 11:09,36.42
20190518 11:29,35.13
20190518 11:49,52.02
20190518 12:08,48.65
20190518 12:29,40.86
20190518 12:49,46.78
20190518 13:09,47.97
20190518 13:29,43.82
20190518 13:49,60.48
20190518 14:09,59.3
20190518 14:29,70.06
20190518 14:49,50.87
20190518 15:09,54.58
20190518 15:29,46.67
20190518 15:49,42.93
20190518 16:09,46.84
20190518 16:29,54.94
20190518 16:49,55.63
20190518 17:09,52.12
20190518 17:29,40.09
20190518 17:49,21.96
20190518 18:09,17.37
20190518 18:29,10.56
20190518 18:49,12.42
20190518 19:09,15.93
20190518 19:29,25.62
20190518 19:49,22.02
20190518 20:09,21.28
20190518 20:29,25.89
20190518 20:49,22.13
20190518 21:09,31.65
20190518 21:29,18.69
20190518 21:49,25.86
20190518 22:09,29.72
20190518 22:29,33.38
20190518 22:49,26.7
20190518 23:09,18.92
20190518 23:29,42.87
20190519 00:49,42.15
20190519 01:29,56.92
20190519 01:49,39.75
20190519 05:29,0.57
20190519 06:29,1.74
20190519 07:09,0.99
20190519 08:29,0.99
20190519 08:49,3.45
20190519 09:09,6.93
20190519 09:29,10.62
20190519 09:49,18.46
20190519 10:09,33.09
20190519 10:29,15.93
20190519 10:49,20.29
20190519 11:09,42.82
20190519 11:29,37.62
20190519 11:49,36.3
20190519 12:09,30.0
20190519 12:29,29.1
20190519 12:49,33.38
20190519 13:09,48.02
20190519 13:29,38.58
20190519 13:49,41.19
20190519 14:09,36.0
20190519 14:29,31.59
20190519 14:49,40.92
20190519 15:08,68.1
20190519 15:29,37.71
20190519 15:49,33.08
20190519 16:09,26.97
20190519 16:29,26.12
20190519 16:49,22.65
20190519 17:09,27.74
20190519 17:29,9.95
20190519 17:49,10.56
20190519 18:09,2.01
20190519 18:29,2.1
20190519 18:49,9.37
20190519 19:09,9.24
20190519 19:29,5.44
20190519 19:49,10.38
20190519 20:09,5.43
20190519 20:29,9.23
20190519 20:49,12.65
20190519 21:09,15.45
20190519 21:29,14.21
20190519 21:49,9.96
20190519 22:09,5.34
20190519 22:29,15.99
20190519 22:49,9.69
20190520 05:08,2.91
20190520 05:28,2.46
20190520 05:48,2.67
20190520 06:08,10.89
20190520 06:28,19.41
20190520 06:48,17.49
20190520 07:08,36.93
20190520 07:28,89.63
20190520 07:48,99.3
20190520 08:08,108.97
20190520 08:28,96.28
20190520 08:48,116.84
20190520 09:08,88.32
20190520 09:28,104.85
20190520 09:48,87.85
20190520 10:08,75.3
20190520 10:28,93.93
20190520 10:48,98.51
20190520 11:08,89.16
20190520 11:28,85.38
20190520 11:48,74.46
20190520 12:08,83.58
20190520 12:28,69.46
20190520 12:48,85.23
20190520 13:08,73.58
20190520 13:28,90.85
20190520 13:49,73.44
20190520 14:08,66.38
20190520 14:28,70.28
20190520 14:48,57.91
20190520 15:08,62.95
20190520 15:28,85.43
20190520 15:48,77.91
20190520 16:08,57.57
20190520 16:28,99.2
20190520 16:48,95.8
20190520 17:08,121.56
20190520 17:28,131.92
20190520 17:48,116.67
20190520 18:08,98.32
20190520 18:28,45.26
20190520 18:48,28.24
20190520 19:08,26.03
20190520 19:28,16.61
20190520 19:48,29.01
20190520 20:08,16.54
20190520 20:28,10.8
20190520 20:48,4.32
20190520 21:08,4.51
20190520 21:28,6.69
20190520 21:48,3.18
20190520 22:08,26.1
20190520 22:28,62.75
20190520 23:08,58.02
20190520 23:28,38.73
20190521 05:28,6.21
20190521 06:48,8.94
20190521 07:08,6.18
20190521 07:28,23.28
20190521 07:48,54.67
20190521 08:08,53.76
20190521 08:28,77.95
20190521 08:48,69.71
20190521 09:08,77.36
20190521 09:28,79.38
20190521 09:48,72.12
20190521 10:08,52.0
20190521 10:28,65.56
20190521 10:48,63.48
20190521 11:08,67.89
20190521 11:28,78.6
20190521 11:48,87.87
20190521 12:08,85.77
20190521 12:28,57.28
20190521 12:48,59.31
20190521 13:08,59.94
20190521 13:28,61.35
20190521 13:48,67.95
20190521 14:08,54.68
20190521 14:28,61.83
20190521 14:48,58.14
20190521 15:08,55.27
20190521 15:28,51.96
20190521 15:48,90.17
20190521 16:08,74.01
20190521 16:28,78.39
20190521 16:48,100.32
20190521 17:08,106.7
20190521 17:28,89.1
20190521 17:48,78.13
20190521 18:08,59.43
20190521 18:28,46.26
20190521 18:48,9.57
20190521 19:08,8.36
20190521 19:28,16.98
20190521 19:48,11.07
20190521 20:08,1.77
20190521 20:28,1.83
20190521 20:48,3.21
20190521 21:08,1.38
20190521 21:28,0.51
20190521 21:48,0.48
20190521 22:08,39.63
20190521 22:28,62.19
20190521 22:48,51.81
20190521 23:08,42.15
20190522 01:08,2.43
20190522 01:28,9.15
20190522 01:48,10.17
20190522 02:08,8.97
20190522 02:28,3.72
20190522 02:48,15.9
20190522 03:08,12.63
20190522 03:28,12.9
20190522 03:48,11.19
20190522 04:08,5.07
20190522 04:28,5.64
20190522 04:48,1.86
20190522 05:08,6.03
20190522 05:28,4.92
20190522 05:48,5.29
20190522 06:08,4.95
20190522 06:48,10.43
20190522 07:08,16.18
20190522 07:28,38.61
20190522 07:48,25.38
20190522 08:08,4.26
20190522 08:28,11.46
20190522 08:48,6.36
20190522 09:28,6.6
20190522 10:08,1.47
20190522 10:28,1.87
20190522 10:48,2.82
20190522 11:08,2.31
20190522 11:28,2.31
20190522 12:08,9.75
20190522 12:28,16.9
20190522 12:48,57.55
20190522 13:08,39.27
20190522 13:28,17.04
20190522 13:48,1.77
20190522 14:28,4.97
20190522 14:48,3.27
20190522 15:08,1.37
20190522 15:28,4.41
20190522 15:48,3.6
20190522 16:08,17.11
20190522 16:28,63.39
20190522 16:48,11.55
20190522 17:08,12.45
20190522 17:28,3.6
20190522 18:08,1.26
20190522 18:48,1.47
20190522 19:08,3.63
20190522 20:28,2.52
20190522 20:48,1.33
20190522 21:08,1.26
20190522 21:48,4.12
20190522 22:08,27.41
20190522 22:28,51.53
20190522 23:08,22.74
20190522 23:28,3.72
20190522 23:48,0.84
20190523 00:28,1.0
20190523 00:48,7.77
20190523 01:08,0.63
20190523 01:28,0.63
20190523 02:08,0.54
20190523 02:28,7.17
20190523 02:48,3.39
20190523 06:28,31.59
20190523 06:48,58.17
20190523 07:08,44.07
20190523 07:48,59.82
20190523 08:08,61.92
20190523 08:28,66.12
20190523 08:48,64.92
20190523 09:08,51.72
20190523 09:28,65.77
20190523 09:48,66.18
20190523 10:08,64.57
20190523 10:48,57.87
20190523 11:08,38.58
20190523 11:28,40.5
20190523 11:48,23.51
20190523 12:08,8.97
20190523 12:28,12.24
20190523 12:48,7.34
20190523 13:08,7.56
20190523 13:28,11.61
20190523 13:48,12.14
20190523 14:08,13.1
20190523 14:28,14.78
20190523 14:48,11.24
20190523 15:08,9.39
20190523 15:29,5.76
20190523 15:48,5.92
20190523 16:08,12.54
20190523 16:28,15.39
20190523 16:48,26.31
20190523 17:08,14.51
20190523 17:28,13.19
20190523 17:48,7.27
20190523 18:08,1.38
20190523 18:28,4.42
20190523 18:48,10.83
20190523 19:08,6.69
20190523 19:28,5.22
20190523 19:48,6.18
20190523 20:09,7.32
20190523 20:29,1.14
20190523 20:50,6.12
20190523 21:10,4.95
20190523 21:30,1.62
20190523 21:50,4.38
20190523 23:50,15.75
20190524 00:10,20.49
20190524 02:10,9.23
20190524 02:30,1.23
20190524 04:10,0.23
20190524 06:30,4.26
20190524 06:50,11.7
20190524 07:10,19.54
20190524 07:30,32.28
20190524 07:50,53.15
20190524 08:10,65.62
20190524 08:30,93.79
20190524 08:50,94.17
20190524 09:10,87.27
20190524 09:30,101.82
20190524 09:50,98.55
20190524 10:10,93.36
20190524 10:30,81.0
20190524 10:50,88.92
20190524 11:10,82.17
20190524 11:30,80.61
20190524 11:50,55.99
20190524 12:10,26.96
20190524 12:30,10.95
20190524 12:50,4.29
20190524 13:10,11.72
20190524 13:30,36.27
20190524 13:50,68.22
20190524 14:09,33.17
20190524 14:29,52.98
20190524 14:48,33.48
20190524 15:08,52.06
20190524 15:28,56.05
20190524 15:48,45.39
20190524 16:08,36.55
20190524 16:28,42.42
20190524 16:48,44.04
20190524 17:08,82.3
20190524 17:28,79.43
20190524 17:48,77.1
20190524 18:08,61.29
20190524 18:28,21.69
20190524 18:48,22.75
20190524 19:08,32.97
