2021-10-22,ID,Jakarta,pm25,70,2.0,163.0,87.0,24158.4
2022-09-14,ID,Jakarta,pressure,72,1013.5,1017.0,1015.3,11.87
2021-01-20,ID,Jakarta,dew,32,22.0,24.5,23.0,5.48
2021-05-24,ID,Jakarta,pm10,42,56.0,106.0,88.0,3002.14
2022-08-31,ID,Jakarta,wind-gust,60,0.1,10.4,2.3,119.44
2022-01-31,ID,Jakarta,pm25,69,25.0,182.0,67.0,26189.9
2021-03-12,ID,Jakarta,pressure,49,1008.0,1015.5,1011.1,42.35
2021-07-30,ID,Jakarta,temperature,64,25.0,37.8,29.4,103.66
2021-01-03,ID,Jakarta,dew,28,21.0,25.0,23.0,13.28
2021-07-29,ID,Jakarta,dew,32,18.0,23.0,20.0,21.45
2019-02-28,ID,Jakarta,pm10,48,7.0,68.0,15.0,3004.75
2022-01-12,ID,Jakarta,wind-speed,51,0.7,3.8,2.5,4.88
2023-09-24,ID,Jakarta,pm25,71,76.0,156.0,117.0,4060.27
2022-03-10,ID,Jakarta,humidity,54,50.2,94.0,83.0,2052.26
2022-04-17,ID,Jakarta,pm25,62,72.0,193.0,132.0,11910.6
2022-09-09,ID,Jakarta,temperature,51,23.8,35.1,27.7,152.19
2022-09-05,ID,Jakarta,pressure,72,1007.5,1013.5,1010.5,27.93
2023-02-04,ID,Jakarta,pm25,71,45.0,155.0,91.0,7785.08
2021-01-07,ID,Jakarta,dew,32,22.0,25.0,23.0,8.14
2022-06-06,ID,Jakarta,humidity,72,52.5,99.0,88.4,2497.23
2022-01-05,ID,Jakarta,humidity,62,57.0,94.0,76.2,2408.45
2022-04-08,ID,Jakarta,pm25,71,21.0,127.0,61.0,4868.42
2022-01-29,ID,Jakarta,wind-speed,43,0.1,5.4,1.5,21.09
2022-03-03,ID,Jakarta,dew,27,23.0,24.5,23.5,2.88
2022-10-01,ID,Jakarta,humidity,72,46.5,86.9,67.0,1716.97
2021-06-05,ID,Jakarta,dew,28,24.0,26.0,25.0,3.6
2022-08-10,ID,Jakarta,dew,69,23.0,25.0,24.0,4.51
2021-04-27,ID,Jakarta,pm10,69,26.0,92.0,52.0,4534.1
2019-10-28,ID,Jakarta,temperature,72,26.6,34.7,28.3,72.72
2019-09-15,ID,Jakarta,pressure,72,1009.5,1014.1,1012.7,19.65
2019-05-13,ID,Jakarta,temperature,48,25.5,34.7,28.8,114.83
2019-12-11,ID,Jakarta,humidity,72,51.3,86.8,77.9,1830.13
2019-09-06,ID,Jakarta,dew,28,19.0,22.0,21.0,8.47
2023-04-26,ID,Jakarta,temperature,60,25.0,33.0,26.0,79.42
2022-07-09,ID,Jakarta,pm25,71,38.0,145.0,80.0,4985.2
2019-08-27,ID,Jakarta,wind-gust,72,2.3,11.0,4.1,63.94
2021-04-22,ID,Jakarta,dew,34,19.0,24.0,21.5,20.45
2019-12-01,ID,Jakarta,humidity,24,79.0,79.0,79.0,0.0
2019-03-17,ID,Jakarta,pm25,68,7.0,159.0,74.0,8385.63
2023-08-28,ID,Jakarta,dew,57,19.0,23.0,21.5,12.48
2023-10-01,ID,Jakarta,pressure,60,1009.0,1013.0,1011.0,21.1
2021-11-28,ID,Jakarta,temperature,72,23.0,35.5,25.5,120.95
2019-12-19,ID,Jakarta,wind-speed,72,0.1,4.6,1.7,19.7
2023-03-19,ID,Jakarta,pressure,63,1006.0,1010.0,1008.5,22.72
2018-05-24,ID,Jakarta,pm25,57,9.0,166.0,57.0,13843.8
2020-11-17,ID,Jakarta,wind-speed,55,0.4,6.3,2.0,15.28
2020-06-15,ID,Jakarta,pm10,69,44.0,77.0,67.0,855.38
2020-08-22,ID,Jakarta,humidity,55,33.8,94.0,48.0,3139.34
2019-02-10,ID,Jakarta,temperature,72,24.9,34.1,27.5,114.06
2022-12-21,ID,Jakarta,dew,66,23.5,26.5,25.0,5.52
2022-11-06,ID,Jakarta,pm25,68,42.0,157.0,82.0,4985.24
2018-06-10,ID,Jakarta,humidity,72,41.1,89.9,67.6,1957.1
2019-12-06,ID,Jakarta,pressure,72,1008.0,1011.0,1009.5,11.25
2019-03-05,ID,Jakarta,wind-gust,63,0.1,9.5,1.7,99.24
2023-03-07,ID,Jakarta,pressure,72,1008.5,1013.0,1011.0,13.79
2022-05-28,ID,Jakarta,pm25,71,17.0,198.0,104.0,20074.1
2020-10-21,ID,Jakarta,pressure,72,1007.0,1013.7,1010.4,35.2
2019-02-03,ID,Jakarta,wind-gust,69,0.1,12.6,2.4,191.33
2018-03-10,ID,Jakarta,pm25,37,9.0,183.0,53.0,20676.4
2019-10-05,ID,Jakarta,pm25,48,50.0,166.0,119.0,12972.6
2021-06-19,ID,Jakarta,temperature,66,25.0,30.4,25.5,16.24
2022-03-07,ID,Jakarta,humidity,54,45.6,83.9,64.0,1428.8
2023-01-16,ID,Jakarta,pressure,72,1006.0,1010.0,1008.0,17.95
2021-06-13,ID,Jakarta,wind-gust,23,0.3,11.8,2.9,124.68
2021-11-27,ID,Jakarta,pm25,48,13.0,68.0,34.0,2603.55
2019-05-19,ID,Jakarta,wind-gust,48,0.6,9.2,4.1,53.45
